RidingId,PercentageVotes,Majority
10001,55.9,16027
10001,17.8,
10001,14.4,
10001,11.1,
10001,0.5,
10001,0.2,
10002,81.8,25170
10002,10.1,
10002,7.3,
10002,0.8,
10003,74.8,20044
10003,18.3,
10003,6.1,
10003,0.8,
10004,71.8,7099
10004,14.4,
10004,13.9,
10005,73.9,25804
10005,12.2,
10005,11.3,
10005,2.7,
10006,46.7,646
10006,45.3,
10006,6.5,
10006,1.1,
10006,0.3,
10007,57.9,9455
10007,36.8,
10007,4.6,
10007,0.8,
11001,65,10989
11001,16.2,
11001,11.1,
11001,6.4,
11001,1.3,
11002,56.3,7013
11002,23.1,
11002,14.8,
11002,5.8,
11003,49.3,4336
11003,29,
11003,19.2,
11003,2.6,
11004,62.1,10003
11004,17.6,
11004,11.2,
11004,9.2,
12001,74.4,25917
12001,14.4,
12001,8.2,
12001,3,
12002,58.5,14491
12002,25.8,
12002,10.2,
12002,4.1,
12002,1.3,
12003,63.7,17270
12003,26.5,
12003,5.7,
12003,3.6,
12003,0.4,
12003,0.2,
12004,58.2,17650
12004,24.4,
12004,14,
12004,3.4,
12005,51.7,8269
12005,36.1,
12005,8.6,
12005,3.3,
12005,0.2,
12006,68.6,26540
12006,15.6,
12006,11.8,
12006,3.9,
12007,70.7,24349
12007,18.6,
12007,6.4,
12007,3.4,
12007,0.4,
12007,0.3,
12007,0.2,
12008,48,6548
12008,34.4,
12008,14.9,
12008,2.8,
12009,56.9,18140
12009,22.6,
12009,16.8,
12009,2.9,
12009,0.5,
12009,0.3,
12010,73.2,24644
12010,13.1,
12010,10.6,
12010,2.5,
12010,0.6,
12011,63,16859
12011,26.1,
12011,6.8,
12011,4.2,
13001,50.7,5766
13001,39.4,
13001,7.6,
13001,2.3,
13002,69,28525
13002,15.1,
13002,11.4,
13002,4.5,
13003,49.3,9736
13003,28.4,
13003,12.4,
13003,9.9,
13004,40.9,1775
13004,37.1,
13004,17.5,
13004,3.9,
13004,0.6,
13005,55.7,11108
13005,25.9,
13005,16.5,
13005,1.9,
13006,47.3,4726
13006,34.3,
13006,15.4,
13006,3,
13007,57.8,18886
13007,21.5,
13007,16.2,
13007,4.6,
13008,43.9,2031
13008,38.6,
13008,12.6,
13008,4.9,
13009,48.8,7719
13009,30.5,
13009,17.5,
13009,3.1,
13010,46.6,3684
13010,37,
13010,11.3,
13010,5.1,
24001,37,1684
24001,32.1,
24001,18.5,
24001,9.3,
24001,2.3,
24001,0.7,
24002,41.5,5903
24002,29.6,
24002,19.4,
24002,6.9,
24002,1.7,
24002,0.9,
24003,46.8,9342
24003,30,
24003,13.2,
24003,7.3,
24003,2.1,
24003,0.5,
24004,44.5,11332
24004,24,
24004,17.8,
24004,11.3,
24004,2,
24004,0.4,
24005,43.3,9443
24005,24.8,
24005,18.7,
24005,11.1,
24005,2.2,
24006,39.5,6737
24006,21,
24006,20.2,
24006,11.6,
24006,6.1,
24006,1,
24006,0.5,
24007,58.9,20468
24007,22.3,
24007,9.7,
24007,7.4,
24007,1.7,
24020,33.5,3347
24020,26.9,
24020,19.1,
24020,18.4,
24020,1.7,
24020,0.4,
24008,30.6,2580
24008,25.5,
24008,25.4,
24008,14.8,
24008,2.4,
24008,0.8,
24008,0.3,
24008,0.2,
24009,40,8205
24009,24.3,
24009,22.1,
24009,11.4,
24009,2.3,
24010,50.9,18911
24010,20.7,
24010,13.6,
24010,11.5,
24010,3.2,
24011,31.1,1147
24011,29.3,
24011,27.7,
24011,9.3,
24011,2.3,
24011,0.4,
